,concept,deps
526,Orthogonal complement,"['set', 'element', 'orthogonal']"
527,Infinite-dimensional vector function,"['vector', 'dimension', 'function']"
528,Characteristic polynomial,"['prime number', 'polynomial', 'coefficient']"
529,Transitive relation,"['relation', 'subordinate', 'party']"
530,Nilpotent,['zero']
531,Field trace,"['field', 'time', 'graph']"
532,Singularity (mathematics),['infinitely far from any other point in spacetime']
533,Intersection (set theory),"['set', 'group', 'element']"
534,Electromagnetic tensor,"['vector', 'quantity', 'direction']"
535,Applied mathematics,['applied mathematics']
536,Operator (mathematics),['operator (mathematics)']
537,Mathematics,['Applied mathematics']
538,Null set,"['set', 'element', 'type']"
539,Semisimple Lie algebra,"['Lie group', 'characteristic 0']"
540,Glossary of computer graphics,"['arithmetic', 'geometry', 'algebra']"
541,Orthogonal coordinates,"['set', 'coordinate', 'coordinate system']"
542,Sequence,"['number', 'sequence', 'number']"
543,Quotient,"['ratio', 'ratios', 'number']"
544,Inequality (mathematics),"['Inequality', 'number', 'set']"
545,2D computer graphics,"['surface', 'representation', 'object']"
546,Ordered pair,"['order', 'pair', 'vector']"
547,Finitely generated module,"['group', 'module', 'generate']"
548,Interior product,"['volume', 'surface', 'measure']"
549,Data economy,"['data', 'money', 'system']"
550,Markov chain,"['probability', 'model', 'modeler']"
551,Jacobian matrix and determinant,"['matrix', 'determinant', 'row']"
552,Unit cube,"['number', 'cube', 'number']"
553,Permutation City,"['city', 'number', 'permutation']"
554,Hat operator,"['operator', 'function', 'result']"
555,Rank–nullity theorem,"['theorem', 'proof', 'concept']"
556,Polynomial interpolation,"['interpolation', 'point', 'method']"
557,Ramp function,['constant rate of change']
558,Counterexample,"['problem', 'solution', 'result']"
559,Uniform space,"['space', 'point', 'size']"
560,Arrow's impossibility theorem,"['set', 'function', 'real']"
561,Parabola,"['polygon', 'curve', 'inflection']"
562,Vertical line test,"['test', 'variance', 'equality']"
563,Riemann–Roch theorem,"['theorem', 'proof', 'concept']"
564,Combination,"['set', 'element', 'permutation']"
565,Derivative test,"['test', 'function', 'derivative']"
566,Exponential growth,"['exponential growth', 'rate', 'time']"
567,Function (mathematics),"['relation', 'relational', 'mathematical']"
568,Differential-algebraic system of equations,"['differential equation', 'differential operator']"
569,2012 in science,"['year', 'leap', 'year']"
570,Halting problem,"['time', 'function', 'problem']"
571,Pascal's triangle,"['length', 'side', 'triangle']"
572,Kernel (image processing),"['image', 'function', 'kernel']"
573,Singular value,"['number', 'number system']"
574,Inner product space,"['set', 'group', 'element']"
575,Theorem,"['principle', 'law', 'statement']"
576,SAT,"['smallest', 'function', 'value']"
577,Digit sum,"['digit', 'number', 'sum']"
578,Algebraic number theory,"['number theory', 'mathematical object', 'number']"
579,Relation (mathematics),"['set', 'rule', 'object']"
580,Volterra operator,"['complex number', 'real number']"
581,Laplace expansion,"['series', 'differential equation', 'solve']"
582,Volume,"['volume', 'solid', 'measure']"
583,Parametric surface,"['surface', 'equation', 'model']"
584,Polynomial,"['polynomial', 'function', 'class']"
585,Origin (mathematics),"['point', 'inflection', 'curve']"
586,Descartes' theorem,"['sum', 'triangle', 'angle']"
587,Scalar boson,"['neutral', 'charge', 'particle']"
588,Abstract algebra,"['set', 'axiom', 'rule']"
589,Glossary of mathematical symbols,"['collection', 'symbol', 'mathematics']"
590,Stochastic,"['distribution', 'probability', 'function']"
591,Whole number,"['natural number', 'number', 'sum']"
592,Nonlinear dimensionality reduction,"['reducing', 'number', 'variable']"
593,Formal power series,"['prime number', 'sequence', 'number']"
594,Annual percentage rate,"['annual percentage rate', 'percentage', 'rate']"
595,Multiplication algorithm,"['set', 'number', 'rule']"
596,Jordan matrix,"['matrix', 'diagonal', 'matrix']"
597,Longship,"['ship', 'length', 'width']"
598,Projective geometry,"['space', 'time', 'theory']"
599,Zero divisor,"['zero divisor', 'zero product']"
600,Included angle,"['measure', 'angle', 'line']"
601,Z-matrix (mathematics),"['matrix', 'zero', 'zeros']"
602,Point reflection,"['surface', 'reflection', 'point']"
603,Orthogonal group,"['group', 'element', 'orthogonal']"
604,Multiplier (economics),"['ratio', 'amount', 'money']"
605,Involution (mathematics),"['number', 'curve', 'function']"
606,Reaction (physics),"['reaction', 'substance', 'convert']"
607,Scatter plot,"['graph', 'relationship', 'variable']"
608,Four-dimensional space,"['axis', 'space', 'parallel']"
609,Continued fraction,['mixed number']
610,Cartesian coordinate system,"['x', 'y']"
611,Completeness of the real numbers,"['set', 'number', 'complete']"
612,Integer sequence,"['field', 'operation', 'sequence']"
613,Natural number,"['number', 'whole', 'number system']"
614,Cancellation property,"['property', 'function', 'zero']"
615,Transformation geometry,"['identity', 'preserve', 'transform']"
616,Pauli matrices,"['group', 'matrix', 'rank']"
617,Curvilinear coordinates,"['x', 'y']"
618,Adiabatic process,"['temperature', 'substance', 'increase']"
619,Participation criterion,"['criterion', 'participant', 'determine']"
620,Triangulation (topology),"['set', 'line', 'plane']"
621,Zero-product property,"['product', 'vector', 'zero']"
622,Rotation (mathematics),"['change', 'direction', 'motion']"
623,Coefficient,"['ratio', 'ratios', 'number']"
624,Snake lemma,"['theorem', 'axiom', 'prove']"
625,Piecewise linear function,"['discontinuous', 'function', 'point']"
626,Active and passive transformation,"['field', 'vector', 'transformation']"
627,Quadratic formula,"['polynomial', 'root', 'square']"
628,Triple product,"['product', 'quantity', 'product']"
629,Quadratic function,"['polynomial', 'square', 'sum']"
630,Indefinite inner product space,"['set', 'number', 'element']"
631,Hooke's law,"['law of elasticity', 'stress']"
632,Transformational theory,"['theory of groups', 'transformation']"
633,Long tail,"['distribution', 'tail', 'probability']"
634,Root of unity,"['number', 'root', 'square']"
635,Direction cosine,"['angle', 'curve', 'direction']"
636,Versine,"['product', 'vector', 'scalar']"
637,Experiment,"['change', 'effect', 'variable']"
638,Orbital state vectors,"['vector', 'state', 'particle']"
639,Arithmetico-geometric sequence,"['digit', 'number', 'sequence']"
640,Diamond,"['crystal', 'solid', 'system']"
641,Equivalence class,"['set', 'group', 'equivalence']"
642,Riesz space,"['metric', 'space', 'point']"
643,Method of complements,"['polynomial', 'inverse', 'root']"
644,Transformational grammar,"['transformation', 'grammar', 'language']"
645,Dilution (equation),"['ratio', 'substance', 'dilute']"
646,Rayleigh quotient,"['wave', 'medium', 'amplitude']"
647,LC circuit,"['reactance', 'reactance', 'circuit']"
648,Quantum dynamics,"['quantum mechanics', 'mathematical theory']"
649,Icosahedral symmetry,"['symmetries', 'group', 'point']"
650,Similarity (geometry),"['figure', 'similarity', 'figure']"
651,Sard's theorem,"['theorem', 'polynomial', 'root']"
652,Radian,"['measure', 'angle', 'degree']"
653,Winding number,"['number', 'turn', 'wire']"
654,Noise (signal processing),"['stochastic', 'disturbance', 'random']"
655,Matrix decomposition,"['vector', 'matrix', 'collection']"
656,Unit hyperbola,"['hyperbola', 'radius', 'unit']"
657,Knowledge space,"['set', 'system', 'state']"
658,Fourier series,"['sine', 'cosine', 'function']"
659,Crystal structure,"['set', 'rule', 'crystal']"
660,Homomorphism,"['homomorphism', 'object', 'respect']"
661,Right-hand rule,"['rule', 'thumb', 'mathematician']"
662,Coriolis force,"['torque', 'body', 'rotate']"
663,Tagged union,"['set', 'element', 'label']"
664,Relativistic quantum mechanics,"['theory', 'quantum', 'mechanics']"
665,Axis–angle representation,"['axis', 'plane', 'representation']"
666,Homogeneous polynomial,"['coefficient', 'polynomial', 'coefficient']"
667,Introduction to the Theory of Error-Correcting Codes,"['book', 'theory', 'code']"
668,Occupational inequality,"['measure', 'group', 'average']"
669,Parallelogram,['polygon']
670,Well-order,"['set', 'element', 'type']"
671,Vector graphics,['a set of points that can be resized without losing quality']
672,Economic model,"['model', 'economy', 'math']"
673,Five-dimensional space,"['axis', 'space', 'parallel']"
674,Look-and-say sequence,"['number', 'digit', 'sequence']"
675,Interval arithmetic,"['arithmetic', 'interval', 'arithmetic operation']"
676,Rigid body,"['deformable', 'body', 'material']"
677,Symmetric bilinear form,"['group', 'symmetry', 'form']"
678,Paradox,"['situation', 'contradiction', 'situational logic']"
679,Matrix coefficient,"['inverse', 'matrix', 'measure']"
680,Variable (mathematics),"['quantity', 'change', 'change rate']"
681,Linear congruential generator,"['prime number', 'generator', 'combination']"
682,Malthusian growth model,"['growth', 'population', 'model']"
683,Radical symbol,"['radical', 'symbol', 'represent']"
684,Orthogonal basis,"['basis', 'orthogonal', 'basis']"
685,System of differential equations,"['set', 'equation', 'interact']"
686,Matrix norm,"['eigenvalue', 'matrix', 'measure']"
687,Circumscribed circle,['circumscribed circle']
688,Origami,"['paper', 'fold', 'art']"
689,Disquisitiones Arithmeticae,"['treatise', 'mathematics', 'treatise']"
690,Functional (mathematics),"['rule', 'system', 'variable']"
691,Formula,"['set', 'rule', 'rulebook']"
692,Parent function,"['function', 'case', 'function']"
693,Numerical integration,"['area', 'polygon', 'surface']"
694,Probability vector,"['probability', 'event', 'vector']"
695,Computing the permanent,"['time', 'function', 'point']"
696,Potential energy,"['entropy', 'measure', 'system']"
697,Indeterminate (variable),"['Indeterminate', 'variable', 'value']"
698,Series expansion,"['series', 'number', 'sequence']"
699,Zorn's lemma,"['theorem', 'statement', 'lemma']"
700,E (mathematical constant),"['force', 'conserve', 'system']"
701,Consistency,"['property', 'set', 'object']"
702,Numerical methods for ordinary differential equations,"['method', 'solve', 'equation']"
703,Euler's identity,"['identity', 'polynomial', 'root']"
704,Population dynamics,"['population', 'model', 'dynamics']"
705,Unit fraction,"['fraction', 'equal', 'one']"
706,Complex conjugate root theorem,"['theorem', 'proof', 'concept']"
707,Orthogonality principle,"['sum', 'angle', 'triangle']"
708,Arithmetic mean,"['group', 'number', 'average']"
709,Tower of Hanoi,"['game', 'turn', 'board']"
710,Hessenberg matrix,"['group', 'matrix', 'element']"
711,Ω-consistent theory,"['theory', 'axiom', 'theory']"
712,Logarithmic growth,"['exponential growth', 'growth', 'rate']"
713,Green's identities,"['set', 'axiom', 'theory']"
714,Proportionality (mathematics),"['proportion', 'relationship', 'magnitude']"
715,Reflection (mathematics),"['ray', 'reflect', 'mirror']"
716,Analysis of variance,"['statistical analysis', 'probability theory']"
717,Mathematical induction,"['implication', 'consequence', 'rule']"
718,Harmonic scale,"['number', 'scale', 'note']"
719,Unit circle,"['diameter', 'radius', 'circle']"
720,Cross product,"['product', 'vector', 'vector product']"
721,Carrying capacity,"['volume', 'matter', 'space']"
722,Contradiction,"['contradiction', 'statement', 'statement']"
723,Regression analysis,"['estimation', 'model', 'parameter']"
724,Low-rank approximation,"['set', 'matrix', 'element']"
725,Hermite transform,"['transform', 'inverse', 'preserve']"
726,Discrete-time Markov chain,['discrete-time Markov chain']
727,Spherical coordinate system,"['spherical coordinate system', 'spherical coordinate system']"
728,Barrier function,"['continuous', 'function', 'parameter']"
729,Linear regression,"['model', 'describe', 'relationship']"
730,Nonlinear system,"['time', 'change', 'system']"
731,Permutation matrix,"['matrix', 'permutation', 'combination']"
732,Sum,"['set', 'element', 'sum']"
733,Complement (set theory),"['set', 'subset', 'set']"
734,Lorentz group,"['group', 'symmetry', 'space']"
735,Forcing (mathematics),"['force', 'body', 'act']"
736,Multilinear algebra,"['arithmetic', 'multilinear', 'arithmetic progression']"
737,Size,"['measure', 'distance', 'point']"
738,Intersection,"['line segment', 'point']"
739,Trace operator,"['inverse', 'function', 'return']"
740,Ordered vector space,"['order', 'space', 'vector']"
741,Basis of a matroid,"['set', 'element', 'matroid']"
742,Leonard W. Hein,"['theorem', 'theorem proving', 'mathematician']"
743,Multiplicity (mathematics),"['count', 'property', 'set']"
744,Complex analysis,"['function', 'structure', 'study']"
745,Independence (mathematical logic),"['property', 'set', 'object']"
746,Complex conjugate of a vector space,"['complex number', 'vector space']"
747,Principal axis theorem,"['theorem', 'proof', 'concept']"
748,Gaussian integer,"['prime number', 'prime factorization']"
749,Absolute Infinite,"['infinitely small', 'infinitely large']"
750,Coordinate vector,"['line of symmetry', 'vector']"
751,Support of a module,"['set', 'element', 'module']"
752,Thermal conduction,"['place', 'heat', 'transfer']"
753,Orthogonality,"['line', 'segment', 'perpendicular']"
754,Vector space,"['set', 'vector', 'vector space']"
755,Signed distance function,"['distance', 'point', 'set']"
756,Identity element,"['identity', 'object', 'same']"
757,Quadrature (mathematics),"['line', 'x-axis', 'segment']"
758,Distributive lattice,['Distributive lattice']
759,Substitution cipher,"['number', 'cipher', 'letter']"
760,Injective function,"['set', 'function', 'map']"
761,Conformable matrix,"['conformable', 'matrix', 'matrix multiplication']"
762,Cesàro summation,"['group', 'element', 'sum']"
763,Codomain,"['set', 'domain', 'subset']"
764,Verbal Behavior,"['set', 'rule', 'behavior']"
765,Scale parameter,"['size', 'measure', 'feature']"
766,Row and column spaces,"['set', 'plane', 'point']"
767,Equation solving,"['process', 'determine', 'value']"
768,Vector calculus identities,"['arithmetic expression', 'vector', 'set']"
769,Woodbury matrix identity,['identity matrix']
770,Synthetic division,"['prime number', 'number', 'division']"
771,Simple harmonic motion,"['periodic motion', 'amplitude', 'frequency']"
772,Arrows (Unicode block),"['polygon', 'segment', 'line']"
773,Module homomorphism,"['map', 'module', 'function']"
774,Algebraic number field,"['set', 'number', 'element']"
775,Bra–ket notation,"['complex number', 'notation']"
776,Congruent transformation,"['symmetry', 'figure', 'transformation']"
777,Fredholm operator,"['mapping', 'function', 'continuous']"
778,Shift operator,"['operator', 'shift', 'number']"
779,Newton's law of cooling,"['law', 'thermodynamics']"
780,List of named matrices,"['list', 'matrix', 'name']"
781,Parity of a permutation,"['a sequence', 'permutation', 'element']"
782,Economic system,"['rule', 'institution', 'allocation']"
783,Matrix calculus,"['differential geometry', 'calculus']"
784,Parity-check matrix,"['matrix', 'diagonal', 'element']"
785,Concave function,"['concave', 'function', 'upward']"
786,Domain of a function,"['set', 'function', 'point']"
787,Operation (mathematics),"['operation', 'mathematical', 'concept']"
788,Isometry,"['line', 'x-axis', 'segment']"
789,Matrix representation,"['array', 'element', 'dimension']"
790,Real projective line,"['line', 'plane', 'axis']"
791,Orthonormal basis,"['basis', 'transformation', 'transform']"
792,Adjugate matrix,"['matrix', 'combination', 'matrix']"
793,Proper orthogonal decomposition,"['set', 'line', 'perpendicular']"
794,Unitary transformation,"['identity', 'preserve', 'transformation']"
795,Asymptote,"['point', 'curve', 'tangent']"
796,Finite field,"['set', 'number', 'element']"
797,Correlation,"['similarity', 'measure', 'variable']"
798,Discriminant,"['difference', 'measure', 'number']"
799,Zero matrix,"['matrix', 'element', 'row']"
800,Function of several complex variables,"['complex number', 'function', 'set']"
801,System of linear equations,"['set', 'function', 'equation']"
802,LU decomposition,"['matrix', 'decomposition', 'transform']"
803,Basic solution (linear programming),"['objective function', 'solution', 'satisfiability']"
804,Riesz representation theorem,"['theorem', 'proof', 'concept']"
805,Pendulum,"['oscillator', 'point', 'device']"
806,Interpolation,"['interpolation', 'estimate', 'point']"
807,Tuple,"['set', 'element', 'number']"
808,Symmetric function,"['symmetry', 'point', 'function']"
809,Computational science,"['Algorithm', 'problem', 'solve']"
810,Definition,"['set', 'object', 'describe']"
811,Adjoint,"['function', 'combination', 'function']"
812,Nth root,"['coefficient', 'polynomial', 'root']"
813,Linear model,"['model', 'equation', 'system']"
814,Paul Erdős,"['field', 'mathematician', 'combinatorics']"
815,Inverse element,"['inverse', 'object', 'object']"
816,Gauss–Bonnet theorem,"['theorem', 'proof', 'concept']"
817,Transpose of a linear map,"['inverse', 'ratio', 'multiply']"
818,Autonomous system (mathematics),"['system', 'operate', 'intervention']"
819,Orientation (geometry),"['direction', 'space', 'point']"
820,Partial correlation,"['measure', 'correlation', 'variable']"
821,Equals sign,"['equals sign', 'sign', 'math']"
822,Q,"['constant', 'constant velocity', 'constant acceleration']"
823,Gray code,"['binary number', 'binary code']"
824,Orthogonal matrix,"['matrix', 'orthogonality']"
825,Control variable,"['change', 'value', 'variable']"
826,Degree (graph theory),"['degree', 'graph', 'measure']"
827,Coprime integers,['prime numbers']
828,Proper map,"['set', 'map', 'subset']"
829,Sequence space,"['set', 'sequence', 'element']"
830,Principal ideal domain,"['set', 'number', 'inverse']"
831,Random walk,"['stochastic process', 'random walk']"
832,Rigid transformation,"['transformation', 'preserve', 'shape']"
833,Scale factor (computer science),"['ratio', 'bit', 'byte']"
834,Jordan algebra,"['group', 'element', 'class']"
835,Multilinear form,"['polynomial', 'coefficient', 'form']"
836,Logarithm,"['ratio', 'ratios', 'number']"
837,Volume of an n-ball,"['sphere', 'number', 'ball']"
838,One Thousand and One Nights,"['collection', 'story', 'collection']"
839,Series (mathematics),"['sequence', 'element', 'number']"
840,Cryptography,"['encoding', 'system', 'information']"
841,Poietic Generator,"['number', 'sequence', 'generate']"
842,Kronecker delta,"['asymmetry', 'measure', 'distribution']"
843,Substitution (logic),"['operation', 'change', 'value']"
844,Surjective function,"['subdomain', 'function', 'domain']"
845,Quotient graph,"['number', 'graph', 'edge']"
846,Victorian era,"['time', 'world', 'Empire']"
847,Exterior derivative,"['point', 'function', 'derivative']"
848,Factorization,"['number', 'factor', 'number']"
849,Globalization,"['globalization', 'integration', 'economy']"
850,Difference of two squares,"['square', 'difference', 'square root']"
851,Lorentz transformation,"['translation', 'transformation', 'observer']"
852,Equality (mathematics),"['property', 'set', 'value']"
853,Bounded variation,"['boundary value problem', 'continuous function']"
854,Vertical bar,"['line', 'axis', 'rotation']"
855,Mean,"['measure', 'mean', 'median']"
856,Stochastic differential equation,['stochastic differential equation']
857,Covariance and contravariance of vectors,['covariance and contravariance']
858,Edo period,"['period', 'time', 'shogunate']"
859,Product (mathematics),"['number', 'quantity', 'sum']"
860,Machine learning,"['data', 'learn', 'technique']"
861,Turning Point,"['time', 'point', 'trend']"
862,Normal mode,"['mode', 'frequency', 'signal']"
863,Solution set,"['set', 'solution', 'equation']"
864,LINPACK,"['set', 'element', 'number']"
865,Uncorrelatedness (probability theory),"['property', 'random variable', 'state']"
866,Haredi Judaism,['halakhah']
867,Bilinear map,"['map', 'combination', 'map']"
868,Perron–Frobenius theorem,"['theorem', 'proof', 'concept']"
869,Linear combination,"['set', 'vector', 'vector space']"
870,Problem solving,"['problem', 'solution', 'situation']"
871,Rate (mathematics),"['change', 'rate', 'quantity']"
872,Empty set,"['set', 'element', 'type']"
873,Circumference,"['circumference', 'circle', 'diameter']"
874,Quotient ring,"['subring', 'element', 'ring']"
875,Shear matrix,"['matrix', 'vector', 'space']"
876,Arithmetic,"['arithmetic', 'number', 'study']"
877,Wronskian,"['product', 'vector', 'scalar']"
878,Primitive polynomial (field theory),"['field', 'equation', 'polynomial']"
879,Logistic function,"['function', 'combination', 'function']"
880,Reductionism,"['theory', 'form', 'theory']"
881,Distribution (mathematics),"['average', 'number', 'function']"
882,Critical exponent,"['prime factorization', 'number', 'factor']"
883,Hamiltonian matrix,"['order', 'matrix', 'element']"
884,Linear span,"['measure', 'distance', 'point']"
885,Precalculus,"['arithmetic', 'algebra', 'geometry']"
886,Student's t-distribution,"['gamma', 'mean', 'distribution']"
887,Eigenvalues and eigenvectors,"['eigenvalue', 'eigenvector', 'matrix']"
888,Anxiety,"['state of fear', 'fear']"
889,Closed set,"['set', 'element', 'element set']"
890,Gram–Schmidt process,"['stochastic process', 'Markov chain', 'stationary state']"
891,Schur decomposition,"['set', 'function', 'orthogonality']"
892,Expectation value (quantum mechanics),"['quantum event', 'probability', 'measure']"
893,Computer graphics (computer science),"['image', 'computer', 'generate']"
894,Color space,"['color', 'pixel', 'RGB']"
895,Sample space,"['set', 'function', 'plane']"
896,Additional Mathematics,['subject that is not a core subject']
897,Commuting matrices,"['product', 'matrix', 'matrix product']"
898,Double negative,"['negative number', 'sign', 'signum']"
899,Hypatia,"['syllogism', 'logic', 'logical']"
900,Pattern Blocks,"['set', 'block', 'n']"
901,Mécanique analytique,"['number theory', 'number system']"
902,Mathematical constant,"['number', 'value', 'number system']"
903,Divergence (disambiguation),"['measure', 'distance', 'point']"
904,Interval (mathematics),"['set', 'line', 'point']"
905,Characteristic function,"['set', 'function', 'point']"
906,Superposition principle,"['change', 'system', 'property']"
907,Conic section,"['polygon', 'curve', 'tangency']"
908,Standard deviation,"['measure', 'variability', 'mean']"
909,Zero-dimensional space,"['point', 'space', 'dimension']"
910,Median,['Group (mathematics)']
911,Polar space,"['axis', 'plane', 'revolution']"
912,Gamma matrices,"['matrix', 'diagonal', 'zero']"
913,Algebra over a field,"['set', 'axiom', 'theory']"
914,Plane of rotation,"['plane of revolution', 'point of rotation']"
915,Continuous function,"['time', 'space', 'function']"
916,Nonlinear control,"['system', 'state', 'system of equations']"
917,Magnus expansion,"['operation', 'number', 'series']"
918,Fibonacci number,"['prime number', 'number', 'sum']"
919,Cost function,"['cost', 'production', 'cost']"
920,Dot product,"['product', 'quantity', 'quantity']"
921,Data analysis,"['analyzing', 'technique', 'data']"
922,P-Laplacian,"['p', 'number', 'function']"
923,Elementary mathematics,"['arithmetic progression', 'arithmetic series']"
924,Random variable,"['probability', 'distribution', 'variable']"
925,Endemic (epidemiology),"['disease', 'area', 'endemic']"
926,Knapsack problem,"['space', 'problem', 'set']"
927,Chemical equation,"['set', 'operation', 'substance']"
928,Differential operator,"['map', 'function', 'operator']"
929,Area,"['area', 'surface', 'measure']"
930,Stationary point,"['line', 'point', 'move']"
931,Linear equation,"['relationship', 'quantity', 'expression']"
932,Minkowski space,"['metric', 'space', 'metric space']"
933,Weighted arithmetic mean,"['mean', 'average', 'measure']"
934,C mathematical functions,"['set', 'operation', 'arithmetic']"
935,Vandermonde matrix,"['matrix', 'diagonal', 'zero']"
936,Pigeonhole principle,"['position', 'time', 'motion']"
937,Confocal conic sections,"['tangent', 'plane', 'lens']"
938,Global optimization,"['problem', 'solution', 'best']"
939,Division sign,"['divisor', 'number', 'sign']"
940,Dimension (vector space),"['measure', 'distance', 'point']"
941,Reflection symmetry,"['symmetry axis', 'reflection', 'plane']"
942,Metric space,"['set', 'number', 'plane']"
943,Tensor product,"['product', 'vector', 'scalar']"
944,Parity bit,"['bit', 'bit', 'bit']"
945,Symmetry in mathematics,"['property', 'set', 'object']"
946,The Zero Theorem,"['theorem', 'number', 'sum']"
947,Category (mathematics),"['set', 'way', 'object']"
948,Galton Laboratory,"['laboratory', 'theory', 'inheritance']"
949,Factorization of polynomials,"['polynomial', 'factor', 'polynomial factorization']"
950,Fields Medal,"['award', 'mathematics', 'prize']"
951,Linear function (calculus),"['continuous', 'bounded', 'function']"
952,Self-organizing map,"['cluster', 'map', 'object']"
953,Bijection,"['space', 'map', 'spacetime']"
954,Euler method,"['method', 'solve', 'system']"
955,Three-dimensional space,"['a three-dimensional object', 'a plane', 'and a surface']"
956,Structure (mathematical logic),"['set', 'axiom', 'theory']"
957,Apsis,"['ratio', 'ratios', 'number']"
958,Homogeneous coordinates,"['set', 'point', 'coordinate']"
959,Subset,"['set', 'element', 'elemental']"
960,Parametric equation,"['relationship', 'quantity', 'equation']"
961,Automorphism,"['group', 'homomorphism', 'group property']"
962,Map projection,"['map', 'scale', 'paper']"
963,Exponent (disambiguation),"['ratio', 'exponent', 'base']"
964,Kronecker symbol,"['product', 'vector', 'scalar']"
965,General algebraic modeling system,"['differential equation', 'system', 'model']"
966,Order of magnitude,"['number', 'multiple', 'number']"
967,Rank (linear algebra),"['number', 'coefficient', 'combination']"
968,Market structure,"['market', 'price', 'rule']"
969,Search engine optimization,"['search', 'engine', 'model']"
970,Square matrix,"['matrix', 'vector', 'row']"
971,Ellipse,"['polygon', 'curve', 'tangent']"
972,Vector space model,"['space', 'model', 'vector']"
973,Eugene Seneta,"['number', 'orchestra', 'symphony']"
974,Matrix addition,"['operation', 'matrix', 'eigenvalue']"
975,L-semi-inner product,"['product', 'vector', 'vector product']"
976,Cylindrical coordinate system,"['x', 'y', 'z']"
977,Invertible knot,"['knot', 'loop', 'turn']"
978,Multiset,"['set', 'element', 'elemental']"
979,PH,"['atomic number', 'mole', 'gas']"
980,Sylvester's law of inertia,"['force', 'resist', 'motion']"
981,Measure (mathematics),"['ratio', 'quantity', 'ratio']"
982,Domain (mathematical analysis),"['set', 'number', 'real']"
983,Vectorization (mathematics),"['matrix', 'transform', 'vector']"
984,Stochastic process,"['stochastic process', 'probability', 'process']"
985,Soviet Union,"['state', 'federation', 'country']"
986,Serre's multiplicity conjectures,"['arithmetic', 'axiom', 'number']"
987,Doubling time,"['time', 'double', 'time']"
988,Geometric algebra,"['axiom', 'rule', 'system']"
989,Vibration,"['periodic motion', 'amplitude', 'frequency']"
990,Petrov classification,"['polygon', 'vertices', 'distance']"
991,Electrical network,"['set', 'node', 'power']"
992,Affine geometry,"['spherical surface', 'polygon']"
993,Angle of rotation,"['angular velocity', 'momentum']"
994,Map (mathematics),"['graph', 'function', 'graph']"
995,Power series,"['number', 'power', 'sequence']"
996,Element (mathematics),"['set', 'unit', 'set']"
997,Component (graph theory),"['set', 'graph', 'component']"
998,Linear algebra,"['system', 'solution', 'equation']"
999,Particle physics,"['quantum theory', 'particle physics', 'and atomic physics']"
1000,Opposite category,"['genus', 'category', 'element']"
1001,Reflection mapping,"['map', 'mirror', 'image']"
1002,Graph database,"['graph theory', 'database', 'data']"
1003,Dual (category theory),"['dual', 'category', 'object']"
1004,Division algorithm,"['algorithm', 'number', 'perform']"
1005,Logical equivalence,['true if and only if']
1006,Turner syndrome,"['chromosome', 'abnormality', 'number']"
1007,Legendre function,"['polynomial', 'coefficient', 'function']"
1008,Spin (physics),"['vector', 'quantity', 'direction']"
1009,Parametrization (geometry),"['transformation', 'geometry', 'symmetry']"
1010,Idempotence,"['property', 'function', 'argument']"
1011,Aerodynamics,"['fluid mechanics', 'fluid flow', 'and fluid dynamics']"
1012,Harmonic function,"['periodic function', 'function', 'sense']"
1013,Pythagorean theorem,"['ratio', 'length', 'side']"
1014,Centroid,"['line', 'point', 'intersection']"
1015,Box plot,"['graph', 'set', 'value']"
1016,Homogeneous differential equation,"['time', 'function', 'equation']"
1017,Algebraic number,"['prime number', 'number', 'sum']"
1018,Triangular matrix,"['matrix', 'diagonal', 'matrix']"
1019,Bridge (disambiguation),"['bridge', 'truss', 'structure']"
1020,Variance,['a measure of the spread of a population']
1021,Hermite normal form,"['polynomial', 'coefficient', 'rational']"
1022,Scheme of work,"['plan', 'project', 'math']"
1023,Normal distribution,"['mean', 'distribution', 'standard deviation']"
1024,Diagonally dominant matrix,"['matrix', 'diagonal', 'element']"
1025,Allan variance,"['measure', 'variability', 'random']"
1026,Rigid analytic space,"['scalar product', 'metric', 'space']"
1027,Acceleration,"['change', 'velocity', 'change']"
1028,Positive-definite kernel,"['kernel', 'condition', 'point']"
1029,Congruence (geometry),"['distance', 'point', 'plane']"
1030,Perpendicular,"['line', 'perpendicular', 'line']"
1031,Normal matrix,"['norm', 'matrix', 'matrix multiplication']"
1032,Euclidean vector,"['line of symmetry', 'vector']"
1033,Rational number,"['ratio', 'number', 'whole']"
1034,George Dantzig,"['theorem', 'theorem proving', 'mathematician']"
1035,Recurrence plot,"['event', 'recurrence', 'graph']"
1036,Archimedes,"['figure', 'geometry', 'figure']"
1037,Noether's theorem,"['conservation of energy', 'conservation of momentum']"
1038,Invariant theory,"['group theory', 'structure', 'theory']"
1039,Unary operation,"['binary number', 'binary operation']"
1040,Truth table,"['table', 'truth', 'value']"
1041,Spark (mathematics),"['particle', 'speed', 'motion']"
1042,Numerical analysis,"['number theory', 'mathematical analysis']"
1043,Odd,"['number', 'divisibility', 'number']"
1044,Event horizon,"['point', 'spacetime', 'particle']"
1045,Legendre polynomials,['degree n']
1046,Differential equation,"['differential equation', 'continuous system', 'model']"
1047,Formal proof,"['formal system', 'proof', 'theorem']"
1048,Grassmann number,"['atomic number', 'molecular formula']"
1049,Composition of relations,"['relation', 'set', 'relational']"
1050,Pisano period,"['time', 'event', 'period']"
